,page,date,title,tokenized,action,pair
0,1,2022-03-21,Dollar gains ground after Powell comments,"['dollar', 'gain', 'grind', 'powell', 'comment']",bull,[]
1,1,2022-03-21,Egypt devalues currency 14 after Ukraine war prompts dollar flight,"['egypt', 'devalue', 'currency', '14', 'ukraine', 'war', 'prompt', 'dollar', 'flight']",na,[]
2,1,2022-03-21,Rouble steadies near 104 vs dollar volatile OFZ bonds resume trading,"['rouble', 'steady', 'near', '104', 'vs', 'dollar', 'volatile', 'ofz', 'bond', 'resume', 'trade']",na,[]
3,1,2022-03-21,Pound US Dollar GBP/USD Exchange Rate Climbs as Russian Forces Attack Odesa,"['pound', 'us', 'dollar', 'gbp/usd', 'exchange', 'rate', 'climb', 'russian', 'force', 'attack', 'odesa']",na,gbp/usd
4,1,2022-03-21,Dollar Edges Higher Fed Speakers Including Powell in Focus,"['dollar', 'edge', 'higher', 'feed', 'speakers', 'include', 'powell', 'focus']",bull,[]
5,1,2022-03-21,China to give 1 trillion yuan tax rebates to small firms – CCTV cites cabinet meeting,"['china', 'give', '1', 'trillion', 'yuan', 'tax', 'rebate', 'small', 'firm', '–', 'cctv', 'cite', 'cabinet', 'meet']",na,[]
6,1,2022-03-21,Aussie pound slightly lower on the day so far,"['aussie', 'pound', 'slightly', 'lower', 'day', 'far']",bear,gbp/aud
7,1,2022-03-21,Dollar Up Yen Down in a Tale of Two Central Banks,"['dollar', 'yen', 'tale', 'two', 'central', 'bank']",na,['jpy']
8,1,2022-03-21,China says it will offer 10 million yuan more of humanitarian aid to Ukraine,"['china', 'say', 'offer', '10', 'million', 'yuan', 'humanitarian', 'aid', 'ukraine']",na,[]
9,1,2022-03-21,AUDUSD moves higher as commodities/yields rise,"['audusd', 'move', 'higher', 'commodities/yields', 'rise']",bull,aud/usd
10,1,2022-03-21,PBOC sets USDCNY central rate at 6.3677 vs estimate at 6.3584,"['pboc', 'set', 'usdcny', 'central', 'rate', '6.3677', 'vs', 'estimate', '6.3584']",na,['usd']
11,1,2022-03-21,NZDUSD takes a peek above the 200 day MA. Can the price get to and through the MA level?,"['nzdusd', 'take', 'peek', '200', 'day', '.', 'price', 'get', 'level', '?']",na,nzd/usd
12,1,2022-03-21,USDJPY moves higher in early trading,"['usdjpy', 'move', 'higher', 'early', 'trade']",bull,usd/jpy
13,1,2022-03-21,EURUSD steady to start the trading week,"['eurusd', 'steady', 'start', 'trade', 'week']",na,eur/usd
14,1,2022-03-18,Russian rouble dips in Moscow down near 25 over 4 weeks,"['russian', 'rouble', 'dip', 'moscow', 'near', '25', '4', 'weeks']",bear,[]
15,1,2022-03-18,Dollar gains on Fed official remarks stays firm vs yuan after Biden-Xi talk,"['dollar', 'gain', 'feed', 'official', 'remark', 'stay', 'firm', 'vs', 'yuan', 'biden-xi', 'talk']",bull,[]
